rollout/ep_len_mean,time/fps,rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,status,train/loss,train/learning_rate,train/n_updates
12.0,4,0.9942999999999995,12,1,2,-176.011723,-1.0,,,
309.0,4,0.847525,321,2,65,-2058.169193,-1.0,9.074386596679688,0.0001,220
