status,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/exploration_rate,time/time_elapsed,time/episodes,train/learning_rate,train/loss,train/n_updates
-1.0,-588.103604,7253,115.0,4,0.9310965000000004,1468,76,,,
-1.0,-484.30926,7306,53.0,4,0.9305929999999997,1479,77,,,
-1.0,-1082.407799,7542,236.0,4,0.9283509999999995,1527,78,,,
-1.0,-280.371043,7559,17.0,4,0.9281895000000002,1530,79,,,
-1.0,-221.041054,7593,34.0,4,0.9278665000000004,1537,80,,,
-1.0,-379.010872,7720,127.0,4,0.9266600000000005,1563,81,,,
-1.0,-300.454326,7736,16.0,4,0.9265080000000003,1566,82,,,
-1.0,-722.857816,7845,109.0,4,0.9254725000000001,1588,83,,,
-1.0,-236.563493,7853,8.0,4,0.9253965000000001,1590,84,,,
-1.0,-231.696953,8054,201.0,4,0.923487,1631,85,,,
-1.0,-177.605496,8065,11.0,4,0.9233825000000001,1633,86,,,
-1.0,-1207.920972,8113,48.0,4,0.9229264999999996,1643,87,,,
-1.0,-941.209876,8282,169.0,4,0.9213209999999998,1677,88,,,
-1.0,-91.920334,8346,64.0,4,0.9207130000000003,1690,89,,,
-1.0,-557.967784,8431,85.0,4,0.9199055000000003,1707,90,,,
-1.0,-1177.359934,8681,250.0,4,0.9175304999999996,1758,91,,,
-1.0,-23.786818,8883,202.0,4,0.9156115000000002,1798,92,,,
-1.0,-481.830694,9001,118.0,4,0.9144904999999997,1822,93,,,
-1.0,-242.198369,9008,7.0,4,0.9144239999999999,1824,94,,,
-1.0,-26.621552,9173,165.0,4,0.9128565000000002,1857,95,,,
-1.0,-128.082488,9189,16.0,4,0.9127045,1860,96,,,
-1.0,-251.472944,9199,10.0,4,0.9126095000000004,1863,97,,,
-1.0,-583.060162,9327,128.0,4,0.9113935000000003,1888,98,,,
-1.0,-360.999683,9351,24.0,4,0.9111655000000001,1893,99,,,
-1.0,97.024197,9662,311.0,4,0.9082110000000005,1956,100,,,
-1.0,-87.949735,9713,51.0,4,0.9077265000000003,1966,101,,,
-1.0,-262.43647,9743,30.0,4,0.9074415000000005,1973,102,,,
1.0,527.139621,9808,65.0,4,0.9068239999999996,1986,103,,,
-1.0,-827.171381,9924,116.0,4,0.9057219999999996,2009,104,,,
-1.0,-280.322656,9955,31.0,4,0.9054274999999996,2016,105,,,
-1.0,161.213803,10071,116.0,4,0.9043254999999996,2039,106,0.0001,7.829958915710449,70
-1.0,-259.717215,10454,383.0,4,0.9006870000000003,2116,107,0.0001,7.60204553604126,453
-1.0,-1818.444538,10639,185.0,4,0.8989295000000005,2153,108,0.0001,7.639814853668213,638
-1.0,-170.348511,10691,52.0,4,0.8984354999999999,2164,109,0.0001,5.452821254730225,690
-1.0,-226.921291,10696,5.0,4,0.8983879999999996,2165,110,0.0001,6.83439302444458,695
0.0,-184.597157,11196,500.0,4,0.8936380000000002,2265,111,0.0001,9.018917083740234,1195
-1.0,275.061533,11575,379.0,4,0.8900375,2342,112,0.0001,9.604965209960938,1574
-1.0,-219.383999,11586,11.0,4,0.8899330000000002,2344,113,0.0001,10.260555267333984,1585
-1.0,-283.64904,11607,21.0,4,0.8897334999999997,2348,114,0.0001,11.374246597290039,1606
0.0,91.340916,12107,500.0,4,0.8849835000000003,2449,115,0.0001,11.361871719360352,2106
-1.0,-222.719644,12122,15.0,4,0.8848410000000003,2452,116,0.0001,14.117535591125488,2121
0.0,336.08337,12622,500.0,4,0.8800909999999998,2552,117,0.0001,10.999128341674805,2621
1.0,504.221351,12691,69.0,4,0.8794354999999999,2566,118,0.0001,14.30321216583252,2690
0.0,188.349889,13191,500.0,4,0.8746855000000004,2667,119,0.0001,15.917150497436523,3190
0.0,325.84792,13691,500.0,4,0.8699355,2767,120,0.0001,19.572229385375977,3690
0.0,360.142124,14191,500.0,4,0.8651855000000004,2867,121,0.0001,19.602317810058594,4190
-1.0,-252838.470424,14642,451.0,4,0.8609009999999996,2958,122,0.0001,175.33847045898438,4641
1.0,633.05235,15055,413.0,4,0.8569774999999996,3041,123,0.0001,129.82203674316406,5054
0.0,211.162512,15555,500.0,4,0.8522275000000001,3141,124,0.0001,138.39718627929688,5554
0.0,130.84539,16055,500.0,4,0.8474774999999997,3241,125,0.0001,628.1441040039062,6054
0.0,-64.15898,16555,500.0,4,0.8427275000000001,3342,126,0.0001,101.59147644042969,6554
0.0,384.173865,17055,500.0,4,0.8379774999999996,3442,127,0.0001,55.68659210205078,7054
0.0,298.360726,17555,500.0,4,0.8332275000000001,3542,128,0.0001,208.239501953125,7554
0.0,16.643722,18055,500.0,4,0.8284774999999996,3643,129,0.0001,152.4576873779297,8054
-1.0,-321.453231,18079,24.0,4,0.8282495000000004,3648,130,0.0001,567.6154174804688,8078
-1.0,-265.055443,18089,10.0,4,0.8281544999999998,3650,131,0.0001,61.850433349609375,8088
-1.0,-358.061495,18113,24.0,4,0.8279264999999996,3655,132,0.0001,231.93521118164062,8112
0.0,-484.990204,18613,500.0,4,0.8231765000000001,3755,133,0.0001,42.449562072753906,8612
0.0,317.071056,19113,500.0,4,0.8184264999999995,3855,134,0.0001,359.61370849609375,9112
0.0,482.716581,19613,500.0,4,0.8136765000000001,3956,135,0.0001,616.7776489257812,9612
0.0,147.196686,20113,500.0,4,0.8089264999999995,4056,136,0.0001,225.23251342773438,10112
0.0,211.552679,20613,500.0,4,0.8041765000000001,4156,137,0.0001,155.13246154785156,10612
0.0,18.217372,21113,500.0,4,0.7994264999999996,4257,138,0.0001,458.4703369140625,11112
0.0,298.981255,21613,500.0,4,0.7946765,4357,139,0.0001,415.44573974609375,11612
-1.0,-81.552918,21850,237.0,4,0.7924249999999997,4405,140,0.0001,316.9396667480469,11849
0.0,186.930192,22350,500.0,4,0.7876750000000002,4505,141,0.0001,555.656494140625,12349
0.0,478.574789,22850,500.0,4,0.7829249999999996,4605,142,0.0001,208.3019561767578,12849
-1.0,-311.97077,22871,21.0,4,0.7827255000000003,4610,143,0.0001,1050.2418212890625,12870
0.0,-19.161847,23371,500.0,4,0.7779754999999997,4710,144,0.0001,63.01279067993164,13370
0.0,228.008654,23871,500.0,4,0.7732255000000002,4810,145,0.0001,448.00390625,13870
-1.0,-137.784942,23891,20.0,4,0.7730355000000001,4815,146,0.0001,279.81707763671875,13890
0.0,-185.275973,24391,500.0,4,0.7682854999999995,4915,147,0.0001,131.49972534179688,14390
1.0,251.205406,24400,9.0,4,0.7682000000000002,4917,148,0.0001,144.6876983642578,14399
0.0,-665.151932,24900,500.0,4,0.7634499999999997,5017,149,0.0001,11.592272758483887,14899
1.0,591.72787,25291,391.0,4,0.7597355000000005,5096,150,0.0001,10.03370475769043,15290
-1.0,-19.782375,25351,60.0,4,0.7591654999999999,5108,151,0.0001,7.802630424499512,15350
1.0,742.207447,25548,197.0,4,0.7572939999999999,5148,152,0.0001,8.763711929321289,15547
-1.0,-421.228022,25602,54.0,4,0.7567809999999999,5159,153,0.0001,7.99299430847168,15601
-1.0,25.315574,25746,144.0,4,0.7554129999999996,5188,154,0.0001,9.725849151611328,15745
-1.0,-157.352001,25765,19.0,4,0.7552324999999996,5192,155,0.0001,8.220097541809082,15764
-1.0,-174.204406,25777,12.0,4,0.7551184999999996,5194,156,0.0001,8.335491180419922,15776
-1.0,117.023367,25879,102.0,4,0.7541495000000001,5215,157,0.0001,10.062358856201172,15878
-1.0,-66.4421,25907,28.0,4,0.7538834999999999,5221,158,0.0001,10.201177597045898,15906
-1.0,117.086692,26063,156.0,4,0.7524015000000005,5252,159,0.0001,10.08833122253418,16062
-1.0,184.617594,26160,97.0,4,0.7514800000000004,5272,160,0.0001,8.822306632995605,16159
-1.0,149.283246,26281,121.0,4,0.7503305,5296,161,0.0001,9.634834289550781,16280
-1.0,78.26323,26368,87.0,4,0.7495040000000005,5314,162,0.0001,9.207144737243652,16367
-1.0,-854.735817,26532,164.0,4,0.747946,5347,163,0.0001,8.63244342803955,16531
-1.0,-72.963803,26607,75.0,4,0.7472334999999997,5362,164,0.0001,10.914319038391113,16606
1.0,682.509779,27090,483.0,4,0.7426450000000004,5459,165,0.0001,8.729538917541504,17089
1.0,680.779128,27517,427.0,4,0.7385884999999999,5545,166,0.0001,12.468063354492188,17516
-1.0,-152.575525,27825,308.0,4,0.7356625000000001,5607,167,0.0001,9.904848098754883,17824
-1.0,-465.567557,27875,50.0,4,0.7351875000000001,5617,168,0.0001,9.723592758178711,17874
0.0,362.688115,28375,500.0,4,0.7304374999999996,5717,169,0.0001,9.907283782958984,18374
-1.0,-174.185806,28380,5.0,4,0.7303900000000004,5719,170,0.0001,8.904189109802246,18379
1.0,630.687002,28508,128.0,4,0.7291740000000002,5745,171,0.0001,7.912445068359375,18507
1.0,728.239381,28992,484.0,4,0.7245759999999999,5842,172,0.0001,11.20411491394043,18991
-1.0,3.215924,29431,439.0,4,0.7204055000000003,5930,173,0.0001,7.878528118133545,19430
-1.0,15.946231,29705,274.0,4,0.7178025000000002,5985,174,0.0001,13.74797534942627,19704
-1.0,-200.0,29706,1.0,4,0.7177929999999999,5985,175,0.0001,9.45620059967041,19705
1.0,538.466107,29999,293.0,4,0.7150095000000001,6044,176,0.0001,8.402274131774902,19998
-1.0,141.982446,30092,93.0,4,0.714126,6063,177,0.0001,13.380228996276855,20091
1.0,606.440931,30182,90.0,4,0.7132709999999995,6081,178,0.0001,10.899866104125977,20181
-1.0,-38.544808,30292,110.0,4,0.7122260000000002,6103,179,0.0001,8.008302688598633,20291
-1.0,390.333535,30724,432.0,4,0.7081220000000004,6190,180,0.0001,8.841924667358398,20723
-1.0,-182.697928,30743,19.0,4,0.7079415000000004,6194,181,0.0001,9.38833999633789,20742
-1.0,-197.456869,30751,8.0,4,0.7078655000000003,6196,182,0.0001,12.240188598632812,20750
1.0,436.114819,30978,227.0,4,0.7057090000000006,6242,183,0.0001,6.951773166656494,20977
1.0,501.417834,31075,97.0,4,0.7047875000000003,6261,184,0.0001,11.330180168151855,21074
-1.0,-200.0,31076,1.0,4,0.7047780000000001,6262,185,0.0001,10.380241394042969,21075
1.0,558.623177,31172,96.0,4,0.7038660000000003,6281,186,0.0001,12.380157470703125,21171
-1.0,-98.763828,31281,109.0,4,0.7028304999999999,6303,187,0.0001,6.810807228088379,21280
1.0,732.256867,31387,106.0,4,0.7018234999999995,6325,188,0.0001,10.379528045654297,21386
1.0,597.442443,31487,100.0,4,0.7008734999999996,6345,189,0.0001,10.271839141845703,21486
1.0,500.07886,31640,153.0,4,0.6994199999999999,6376,190,0.0001,8.812817573547363,21639
-1.0,-191.192846,31652,12.0,4,0.699306,6378,191,0.0001,6.9382004737854,21651
-1.0,-264.303868,31867,215.0,4,0.6972635000000003,6422,192,0.0001,13.466821670532227,21866
-1.0,50.385975,31918,51.0,4,0.696779,6432,193,0.0001,6.546070098876953,21917
-1.0,-214.87522,31921,3.0,4,0.6967505000000003,6433,194,0.0001,9.729920387268066,21920
1.0,406.2637,31964,43.0,4,0.6963420000000001,6442,195,0.0001,6.934433937072754,21963
-1.0,226.091863,32147,183.0,4,0.6946034999999997,6479,196,0.0001,5.468227863311768,22146
-1.0,-232.025112,32157,10.0,4,0.6945085000000002,6481,197,0.0001,6.826003551483154,22156
1.0,672.854052,32335,178.0,4,0.6928175,6517,198,0.0001,14.647098541259766,22334
-1.0,-189.412535,32339,4.0,4,0.6927795,6518,199,0.0001,6.563000679016113,22338
-1.0,-172.530959,32350,11.0,4,0.6926750000000002,6520,200,0.0001,6.08588981628418,22349
-1.0,115.33371,32436,86.0,4,0.6918579999999999,6537,201,0.0001,9.41676139831543,22435
1.0,568.56531,32517,81.0,4,0.6910884999999998,6554,202,0.0001,8.226017951965332,22516
-1.0,367.134556,32700,183.0,4,0.6893500000000005,6591,203,0.0001,8.021170616149902,22699
-1.0,151.141822,32828,128.0,4,0.6881340000000004,6617,204,0.0001,10.019034385681152,22827
1.0,550.652093,32953,125.0,4,0.6869464999999999,6642,205,0.0001,10.214123725891113,22952
-1.0,-141.638341,32963,10.0,4,0.6868515000000004,6644,206,0.0001,5.787759304046631,22962
1.0,479.311703,33035,72.0,4,0.6861674999999996,6659,207,0.0001,8.231575965881348,23034
-1.0,-221.693598,33039,4.0,4,0.6861294999999996,6660,208,0.0001,7.347826957702637,23038
-1.0,-202.473486,33043,4.0,4,0.6860914999999996,6661,209,0.0001,7.07672119140625,23042
1.0,671.303511,33290,247.0,4,0.6837449999999996,6710,210,0.0001,7.691394805908203,23289
1.0,822.395701,33432,142.0,4,0.6823959999999999,6739,211,0.0001,8.277999877929688,23431
1.0,556.956765,33622,190.0,4,0.6805909999999997,6777,212,0.0001,7.098330497741699,23621
1.0,385.291873,33661,39.0,4,0.6802204999999996,6785,213,0.0001,7.73785400390625,23660
1.0,419.882029,33706,45.0,4,0.6797929999999999,6795,214,0.0001,7.789295196533203,23705
1.0,677.254132,33884,178.0,4,0.6781019999999998,6830,215,0.0001,5.689739227294922,23883
-1.0,71.887357,34032,148.0,4,0.6766960000000004,6860,216,0.0001,6.5863423347473145,24031
-1.0,64.424707,34170,138.0,4,0.6753849999999997,6888,217,0.0001,7.8179931640625,24169
-1.0,132.811047,34426,256.0,4,0.6729530000000005,6940,218,0.0001,9.94134521484375,24425
-1.0,-188.722639,34432,6.0,4,0.6728959999999999,6941,219,0.0001,6.644576072692871,24431
1.0,721.229969,34749,317.0,4,0.6698844999999998,7005,220,0.0001,11.602832794189453,24748
1.0,678.047293,34966,217.0,4,0.6678229999999995,7048,221,0.0001,12.226760864257812,24965
-1.0,-18.351537,35320,354.0,4,0.6644599999999998,7119,222,0.0001,10.197559356689453,25319
-1.0,303.058876,35481,161.0,4,0.6629305000000001,7152,223,0.0001,9.783565521240234,25480
-1.0,27.02901,35714,233.0,4,0.6607169999999998,7199,224,0.0001,9.8131685256958,25713
-1.0,-141.957401,35909,195.0,4,0.6588645000000003,7238,225,0.0001,10.007503509521484,25908
-1.0,-811.520011,35992,83.0,4,0.6580759999999999,7255,226,0.0001,5.895646095275879,25991
-1.0,35.527098,36236,244.0,4,0.6557579999999996,7304,227,0.0001,7.158102035522461,26235
-1.0,-119.976904,36353,117.0,4,0.6546465000000004,7328,228,0.0001,6.558245658874512,26352
1.0,522.81673,36470,117.0,4,0.653535,7351,229,0.0001,11.21045207977295,26469
-1.0,-193.307299,36477,7.0,4,0.6534685000000002,7353,230,0.0001,6.213797092437744,26476
1.0,539.976866,36666,189.0,4,0.6516730000000003,7391,231,0.0001,5.550985336303711,26665
1.0,835.911039,36982,316.0,4,0.6486710000000004,7454,232,0.0001,11.606378555297852,26981
1.0,644.868471,37141,159.0,4,0.6471605000000002,7486,233,0.0001,5.344489097595215,27140
1.0,766.135967,37324,183.0,4,0.6454219999999998,7523,234,0.0001,10.013368606567383,27323
1.0,651.006322,37777,453.0,4,0.6411185000000005,7614,235,0.0001,7.580977439880371,27776
-1.0,89.227889,37856,79.0,4,0.640368,7630,236,0.0001,14.055746078491211,27855
-1.0,87.210637,38087,231.0,4,0.6381735000000002,7677,237,0.0001,8.006342887878418,28086
-1.0,-256.775267,38500,413.0,4,0.6342500000000002,7760,238,0.0001,7.298890113830566,28499
1.0,747.845066,38734,234.0,4,0.6320269999999997,7807,239,0.0001,6.786218643188477,28733
1.0,449.35054,38831,97.0,4,0.6311055000000005,7826,240,0.0001,5.134719371795654,28830
-1.0,-221.444059,38866,35.0,4,0.6307730000000005,7834,241,0.0001,7.849774360656738,28865
-1.0,-5.633271,38902,36.0,4,0.6304310000000001,7841,242,0.0001,10.503471374511719,28901
-1.0,98.204065,38960,58.0,4,0.62988,7853,243,0.0001,7.107852935791016,28959
1.0,819.689331,39106,146.0,4,0.6284930000000003,7882,244,0.0001,8.929418563842773,29105
